row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,5,C3,gpt,gpt-4.1-mini,26348845,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1329,300,no_numeric_mapping_exact_control,611,20,631,1,,[],chatcmpl-EOYbpiuJmvjqzZMdVqnQ6mO7UbUir,gpt-4.1-mini-2025-04-14,fp_477f138a18,2026-09-16T01:20:16.564269+00:00,2026-09-16T01:20:17.395503+00:00,0.831,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
2,10,C3,gpt,gpt-4.1-mini,10973547,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,full,1639,300,no_numeric_mapping_exact_control,674,21,695,1,,[],chatcmpl-EOYbvohDqhvTlh0lQ6jEARnmyw7dD,gpt-4.1-mini-2025-04-14,fp_73ba833c7d,2026-09-16T01:20:22.626619+00:00,2026-09-16T01:20:23.743195+00:00,1.117,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
3,17,C3,gpt,gpt-4.1-mini,26163474,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1681,300,no_numeric_mapping_exact_control,650,20,670,1,,[],chatcmpl-EOYc6kUvhws8lMMGQXvGrPhju1Mpk,gpt-4.1-mini-2025-04-14,fp_6e472412bd,2026-09-16T01:20:33.457961+00:00,2026-09-16T01:20:34.048604+00:00,0.591,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
4,30,C3,gpt,gpt-4.1-mini,24374414,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1735,300,no_numeric_mapping_exact_control,664,20,684,1,,[],chatcmpl-EOYcLwfLahtMQyCqFWjhAGlaMiMvA,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:20:48.209886+00:00,2026-09-16T01:20:49.024409+00:00,0.815,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
5,37,C3,gpt,gpt-4.1-mini,18507507,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1385,300,no_numeric_mapping_exact_control,502,20,522,1,,[],chatcmpl-EOYcTGLnoeSWTYdvsjScYPriuYbHx,gpt-4.1-mini-2025-04-14,fp_6bc8ee4e86,2026-09-16T01:20:56.779623+00:00,2026-09-16T01:20:57.319635+00:00,0.54,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
6,42,C3,gpt,gpt-4.1-mini,23495128,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1572,300,no_numeric_mapping_exact_control,555,20,575,1,,[],chatcmpl-EOYcZEFG30atZd6e33gU5Lx7YEzNV,gpt-4.1-mini-2025-04-14,fp_1677d11c7c,2026-09-16T01:21:02.440935+00:00,2026-09-16T01:21:03.053541+00:00,0.613,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
7,49,C3,gpt,gpt-4.1-mini,17192736,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,full,1465,300,no_numeric_mapping_exact_control,641,21,662,1,,[],chatcmpl-EOYchhqX7dBRbl4ZWgRHEe7z1fVNG,gpt-4.1-mini-2025-04-14,fp_f1951aa9a9,2026-09-16T01:21:10.627384+00:00,2026-09-16T01:21:11.346991+00:00,0.72,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
8,62,C3,gpt,gpt-4.1-mini,12163782,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,2109,300,no_numeric_mapping_exact_control,737,20,757,1,,[],chatcmpl-EOYcxy37ult2s7LM2WL8UEIeKBnR6,gpt-4.1-mini-2025-04-14,fp_e8e59f8bfb,2026-09-16T01:21:26.091049+00:00,2026-09-16T01:21:26.911968+00:00,0.821,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
9,69,C3,gpt,gpt-4.1-mini,9582182,SUPPORTED,REFUTED,0.1,COMMIT,full,clean,0,full,1100,300,no_numeric_mapping_exact_control,520,21,541,1,,[],chatcmpl-EOYd4Bk6rvzHTUMPXuJ6dpowxvh3l,gpt-4.1-mini-2025-04-14,fp_5077a5477e,2026-09-16T01:21:33.770202+00:00,2026-09-16T01:21:34.491296+00:00,0.721,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
10,74,C3,gpt,gpt-4.1-mini,25588461,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1293,300,no_numeric_mapping_exact_control,532,20,552,1,,[],chatcmpl-EOYd9j8R8WKYOeQCTxE3PD3Nld3jJ,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:21:39.110426+00:00,2026-09-16T01:21:39.712875+00:00,0.602,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
11,81,C3,gpt,gpt-4.1-mini,23453079,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1430,300,no_numeric_mapping_exact_control,565,20,585,1,,[],chatcmpl-EOYdJArqvBwirhVLbFfplUd2Rkd04,gpt-4.1-mini-2025-04-14,fp_8c3b082e4e,2026-09-16T01:21:48.926217+00:00,2026-09-16T01:21:49.545005+00:00,0.619,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
12,94,C3,gpt,gpt-4.1-mini,14518645,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,891,300,no_numeric_mapping_exact_control,484,20,504,1,,[],chatcmpl-EOYdYLEoxojCRoARCfB4aG6YuU7bC,gpt-4.1-mini-2025-04-14,fp_dc9dc22150,2026-09-16T01:22:03.772142+00:00,2026-09-16T01:22:04.604832+00:00,0.833,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
13,101,C3,gpt,gpt-4.1-mini,21084567,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1105,300,no_numeric_mapping_exact_control,514,20,534,1,,[],chatcmpl-EOYdkeLnNLmBI9juAuh78bppUz8Sd,gpt-4.1-mini-2025-04-14,fp_7681b9e269,2026-09-16T01:22:15.962037+00:00,2026-09-16T01:22:16.802282+00:00,0.84,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
14,106,C3,gpt,gpt-4.1-mini,11601252,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1018,300,no_numeric_mapping_exact_control,513,20,533,1,,[],chatcmpl-EOYdr7u93aSU0y5sNR8Zj52BAM9S3,gpt-4.1-mini-2025-04-14,fp_77a162052f,2026-09-16T01:22:22.309422+00:00,2026-09-16T01:22:22.930343+00:00,0.621,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
15,113,C3,gpt,gpt-4.1-mini,20577124,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1561,300,no_numeric_mapping_exact_control,618,20,638,1,,[],chatcmpl-EOYdyAclhoB1q9XuIxHtmtiICOfmZ,gpt-4.1-mini-2025-04-14,fp_2d64b11188,2026-09-16T01:22:29.993972+00:00,2026-09-16T01:22:30.604948+00:00,0.611,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
16,126,C3,gpt,gpt-4.1-mini,16647887,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,full,932,300,no_numeric_mapping_exact_control,467,21,488,1,,[],chatcmpl-EOYeES106MFKv27EZXrky22xOUWQH,gpt-4.1-mini-2025-04-14,fp_dc9dc22150,2026-09-16T01:22:45.252650+00:00,2026-09-16T01:22:45.967069+00:00,0.714,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
17,133,C3,gpt,gpt-4.1-mini,24019262,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1508,300,no_numeric_mapping_exact_control,611,20,631,1,,[],chatcmpl-EOYeMPSG2bmp4WFxwqjRnRItNFEpH,gpt-4.1-mini-2025-04-14,fp_9462904437,2026-09-16T01:22:53.851610+00:00,2026-09-16T01:22:54.449450+00:00,0.598,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
18,138,C3,gpt,gpt-4.1-mini,18670651,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1276,300,no_numeric_mapping_exact_control,603,20,623,1,,[],chatcmpl-EOYeSVaDhwOOdyWzLmRnWIUXfA10Y,gpt-4.1-mini-2025-04-14,fp_9ab5ecfee8,2026-09-16T01:22:59.895131+00:00,2026-09-16T01:23:00.500602+00:00,0.606,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
