row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,4,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26348845,SUPPORTED,REFUTED,0.2,SEEK_EVIDENCE,full,clean,0,full,1329,300,no_numeric_mapping_exact_control,634,24,658,1,,[],p1Su3cA-fdNmn-a3bc0c36e9d0ff27,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:15.456799+00:00,2026-09-16T01:20:16.256482+00:00,0.8,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: SEEK_EVIDENCE",62
2,11,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,10973547,REFUTED,REFUTED,0.2,SEEK_EVIDENCE,full,clean,1,full,1639,300,no_numeric_mapping_exact_control,703,24,727,1,,[],p1Su6Aj-4YNCb4-a3bc0c6d1ead5b05,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:24.050557+00:00,2026-09-16T01:20:26.905652+00:00,2.855,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: SEEK_EVIDENCE",62
3,16,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,26163474,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1681,300,no_numeric_mapping_exact_control,680,20,700,1,,[],p1Su8ba-4YNCb4-a3bc0ca02f9eefb9,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:32.331796+00:00,2026-09-16T01:20:33.152483+00:00,0.821,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
4,31,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,24374414,SUPPORTED,SUPPORTED,0.05,COMMIT,full,clean,1,full,1735,300,no_numeric_mapping_exact_control,690,20,710,1,,[],p1SuDfj-fdNmn-a3bc0d0a89eedd26,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:49.329791+00:00,2026-09-16T01:20:50.354527+00:00,1.025,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.05
ACTION: COMMIT",58
5,36,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,18507507,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1385,300,no_numeric_mapping_exact_control,529,20,549,1,,[],p1SuFZ3-fdNmn-a3bc0d323b9ea27e,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:20:55.678087+00:00,2026-09-16T01:20:56.471393+00:00,0.793,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
6,43,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,23495128,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1572,300,no_numeric_mapping_exact_control,584,20,604,1,,[],p1SuHrS-fdNmn-a3bc0d629b191fde,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:03.358117+00:00,2026-09-16T01:21:04.487594+00:00,1.129,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
7,48,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,17192736,REFUTED,REFUTED,0.05,COMMIT,full,clean,1,full,1465,300,no_numeric_mapping_exact_control,673,21,694,1,,[],p1SuKeX-fdNmn-a3bc0d86ba790aa4,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:09.196194+00:00,2026-09-16T01:21:10.322758+00:00,1.127,"DECISION: REFUTED
ERROR_PROBABILITY: 0.05
ACTION: COMMIT",56
8,63,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,12163782,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,2109,300,no_numeric_mapping_exact_control,761,20,781,1,,[],p1SuQvD-fdNmn-a3bc0df72bf22f84,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:27.216667+00:00,2026-09-16T01:21:28.037801+00:00,0.821,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
9,68,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,9582182,SUPPORTED,REFUTED,0.2,SEEK_EVIDENCE,full,clean,0,full,1100,300,no_numeric_mapping_exact_control,542,24,566,1,,[],p1SuSVW-4YNCb4-a3bc0e187de9a261,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:32.551982+00:00,2026-09-16T01:21:33.466352+00:00,0.914,"DECISION: REFUTED
ERROR_PROBABILITY: 0.2
ACTION: SEEK_EVIDENCE",62
10,75,C3,llama,meta-llama/Llama-3.3-70B-Instruct-Turbo,25588461,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1293,300,no_numeric_mapping_exact_control,558,20,578,1,,[],p1SuUjv-fdNmn-a3bc0e477908ff27,meta-llama/Llama-3.3-70B-Instruct-Turbo,,2026-09-16T01:21:40.021049+00:00,2026-09-16T01:21:41.657737+00:00,1.637,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
