row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,3,C2,gpt,gpt-4.1-mini,26348845,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,full,1329,300,explicit_numeric,639,22,661,1,,[],chatcmpl-EOYbnVGczuUfD5R9e1nIiGJOWcuoI,gpt-4.1-mini-2025-04-14,fp_477f138a18,2026-09-16T01:20:14.020461+00:00,2026-09-16T01:20:15.131340+00:00,1.111,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
2,8,C2,gpt,gpt-4.1-mini,10973547,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,full,1639,300,explicit_numeric,702,21,723,1,,[],chatcmpl-EOYbtnFkNKnSpqRAZCX88WOexqnCm,gpt-4.1-mini-2025-04-14,fp_73ba833c7d,2026-09-16T01:20:20.018700+00:00,2026-09-16T01:20:20.966178+00:00,0.947,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
3,23,C2,gpt,gpt-4.1-mini,26163474,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1681,300,explicit_numeric,678,20,698,1,,[],chatcmpl-EOYcDup48wLs10B8Ge45ffl4mcRCp,gpt-4.1-mini-2025-04-14,fp_6e472412bd,2026-09-16T01:20:40.587048+00:00,2026-09-16T01:20:41.346155+00:00,0.759,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
4,28,C2,gpt,gpt-4.1-mini,24374414,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1735,300,explicit_numeric,692,20,712,1,,[],chatcmpl-EOYcIfhvnEl74pEU3UFOBBxQfe4ID,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:20:45.953449+00:00,2026-09-16T01:20:46.551938+00:00,0.599,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
5,35,C2,gpt,gpt-4.1-mini,18507507,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1385,300,explicit_numeric,530,20,550,1,,[],chatcmpl-EOYcRnm9ao2vj2J5sytbi3kxDDBwO,gpt-4.1-mini-2025-04-14,fp_6bc8ee4e86,2026-09-16T01:20:54.708321+00:00,2026-09-16T01:20:55.373721+00:00,0.665,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
6,40,C2,gpt,gpt-4.1-mini,23495128,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,1572,300,explicit_numeric,583,20,603,1,,[],chatcmpl-EOYcXn9FnQQ2CmQg3mfxXYWLuV7vD,gpt-4.1-mini-2025-04-14,fp_1677d11c7c,2026-09-16T01:20:59.643311+00:00,2026-09-16T01:21:01.005319+00:00,1.362,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
7,55,C2,gpt,gpt-4.1-mini,17192736,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,full,1465,300,explicit_numeric,669,21,690,1,,[],chatcmpl-EOYcoMysY1aH0I5AeIAKCKzTUihOU,gpt-4.1-mini-2025-04-14,fp_f1951aa9a9,2026-09-16T01:21:17.840859+00:00,2026-09-16T01:21:18.515444+00:00,0.675,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
8,60,C2,gpt,gpt-4.1-mini,12163782,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,full,2109,300,explicit_numeric,765,20,785,1,,[],chatcmpl-EOYcuXWSdFaz1vZTJknajRIH0S13M,gpt-4.1-mini-2025-04-14,fp_e8e59f8bfb,2026-09-16T01:21:23.721814+00:00,2026-09-16T01:21:24.371342+00:00,0.65,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
9,67,C2,gpt,gpt-4.1-mini,9582182,SUPPORTED,REFUTED,0.1,COMMIT,full,clean,0,full,1100,300,explicit_numeric,548,21,569,1,,[],chatcmpl-EOYd2e6tAERalITcmLRMntGHguDbf,gpt-4.1-mini-2025-04-14,fp_5077a5477e,2026-09-16T01:21:31.672976+00:00,2026-09-16T01:21:32.238022+00:00,0.565,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
10,72,C2,gpt,gpt-4.1-mini,25588461,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,full,1293,300,explicit_numeric,560,20,580,1,,[],chatcmpl-EOYd7T1uacb3cK5DXDgg0xCTZQstD,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:21:36.945984+00:00,2026-09-16T01:21:37.561034+00:00,0.615,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
