row_order,schedule_index,condition,model_key,model,pubmed_id,gold_label,decision,error_prob,action,parse_status,parse_notes,is_correct,evidence_policy,evidence_chars,max_tokens,threshold_rule,prompt_tokens,completion_tokens,total_tokens,api_attempts,api_error,retry_events_json,response_id,response_model,system_fingerprint,request_started_utc,request_finished_utc,latency_seconds,raw_response,raw_length
1,7,C0,gpt,gpt-4.1-mini,26348845,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,610,20,630,1,,[],chatcmpl-EOYbr1HJEWQtahHib11Ojz0ou8q0z,gpt-4.1-mini-2025-04-14,fp_477f138a18,2026-09-16T01:20:18.785736+00:00,2026-09-16T01:20:19.699837+00:00,0.914,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
2,12,C0,gpt,gpt-4.1-mini,10973547,REFUTED,SUPPORTED,0.2,COMMIT,full,clean,0,short,1200,80,explicit_numeric,595,20,615,1,,[],chatcmpl-EOYc0TuvHQwjtvSF3Pr4vjpm9raIl,gpt-4.1-mini-2025-04-14,fp_73ba833c7d,2026-09-16T01:20:27.218250+00:00,2026-09-16T01:20:28.033488+00:00,0.815,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
3,19,C0,gpt,gpt-4.1-mini,26163474,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,80,explicit_numeric,542,22,564,1,,[],chatcmpl-EOYc8I2kfWz9Pu2ERlsClY2PkzVBc,gpt-4.1-mini-2025-04-14,fp_6e472412bd,2026-09-16T01:20:35.605420+00:00,2026-09-16T01:20:36.223651+00:00,0.618,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
4,24,C0,gpt,gpt-4.1-mini,24374414,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,80,explicit_numeric,532,22,554,1,,[],chatcmpl-EOYcETcOVwd8Rf57pwwaPFSgt411c,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:20:41.653094+00:00,2026-09-16T01:20:42.169378+00:00,0.516,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
5,39,C0,gpt,gpt-4.1-mini,18507507,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,499,20,519,1,,[],chatcmpl-EOYcVEohNpMHPGkdkNHMj98U6ZRAC,gpt-4.1-mini-2025-04-14,fp_6bc8ee4e86,2026-09-16T01:20:58.765809+00:00,2026-09-16T01:20:59.338960+00:00,0.573,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
6,44,C0,gpt,gpt-4.1-mini,23495128,SUPPORTED,SUPPORTED,0.1,COMMIT,full,clean,1,short,1200,80,explicit_numeric,522,20,542,1,,[],chatcmpl-EOYcbRxgHo96jRS4jJQXky8tCteiz,gpt-4.1-mini-2025-04-14,fp_1677d11c7c,2026-09-16T01:21:04.794359+00:00,2026-09-16T01:21:05.407621+00:00,0.613,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",57
7,51,C0,gpt,gpt-4.1-mini,17192736,REFUTED,REFUTED,0.1,COMMIT,full,clean,1,short,1200,80,explicit_numeric,600,21,621,1,,[],chatcmpl-EOYcj2aikmGmiWc0ijW7j1p8IgjMm,gpt-4.1-mini-2025-04-14,fp_f1951aa9a9,2026-09-16T01:21:12.885630+00:00,2026-09-16T01:21:13.593336+00:00,0.708,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
8,56,C0,gpt,gpt-4.1-mini,12163782,SUPPORTED,SUPPORTED,0.2,COMMIT,full,clean,1,short,1200,80,explicit_numeric,574,20,594,1,,[],chatcmpl-EOYcpxOsBnju9tjoElu8caURIEO80,gpt-4.1-mini-2025-04-14,fp_e8e59f8bfb,2026-09-16T01:21:18.820865+00:00,2026-09-16T01:21:19.538400+00:00,0.718,"DECISION: SUPPORTED
ERROR_PROBABILITY: 0.2
ACTION: COMMIT",57
9,71,C0,gpt,gpt-4.1-mini,9582182,SUPPORTED,REFUTED,0.1,COMMIT,full,clean,0,short,1100,80,explicit_numeric,548,21,569,1,,[],chatcmpl-EOYd66N5tgRNnPAMUzupfrTYkbms3,gpt-4.1-mini-2025-04-14,fp_5077a5477e,2026-09-16T01:21:36.038613+00:00,2026-09-16T01:21:36.640688+00:00,0.602,"DECISION: REFUTED
ERROR_PROBABILITY: 0.1
ACTION: COMMIT",55
10,76,C0,gpt,gpt-4.1-mini,25588461,SUPPORTED,INCONCLUSIVE,0.35,ABSTAIN,full,clean,0,short,1200,80,explicit_numeric,538,22,560,1,,[],chatcmpl-EOYdCVoYJ1H0aN8DAFtyNf1O1T66H,gpt-4.1-mini-2025-04-14,fp_27fa8c7d29,2026-09-16T01:21:41.971140+00:00,2026-09-16T01:21:43.075600+00:00,1.104,"DECISION: INCONCLUSIVE
ERROR_PROBABILITY: 0.35
ACTION: ABSTAIN",62
