protocol,model,max_tokens,evidence_truncated,threshold_table,sample_type,is_correct,predicted_decision,action,parse_status,error_probability
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,ABSTAIN,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,COMMIT,full,0.146
A2,GPT-4.1-mini,300,False,True,stratified,1,INCONCLUSIVE,COMMIT,full,0.146
